Response ID,Respondent Name,Submission Date & Time,State,City,Region Classification,Age Group,Gender,Occupation,Monthly Income Group,Q07: Online Impulse Freq,Q08: Offline Impulse Freq,Q09: Typical Unplanned Spend,Preferred Shopping Mode,Q10: Need for Touch (1-5),Q11: In-Store Displays (1-5),Q12: Cashier Counter Impulse (1-5),Q13: Salesperson Influence (1-5),Q14: AI Personalization (1-5),Q15: Countdown Urgency (1-5),Q16: Stock Scarcity FOMO (1-5),Q17: Social Proof Reviews (1-5),Q18: Push Notification Alerts (1-5),Q19: Primary Payment Method,Q20: UPI Pain of Paying (1-5),Q21: BNPL Spend Lift (1-5),Q22: Online Impulse Regret (1-5),Q23: Offline Satisfaction (1-5),Q24: Online Return Frequency (1-5),Q25: Deceptive Urgency Trust Loss (1-5),Data Integrity Source Tag
RESP-2026-0034,Komal Pathak,2026-09-10T13:04:01.030Z,Madhya Pradesh,Indore (Sarafa Bazar),Indore Hub,35 – 49 years,Female,Business Owner / Self-Employed,"Rs. 60,001 to Rs. 1,00,000",Rarely (Less than once a month),3 to 4 times a month,"Rs. 500 to Rs. 1,500",Offline,4,4,4,4,2,2,2,4,2,"UPI (Google Pay, PhonePe, Paytm QR)",4,3,2,4,1,4,PRIMARY_RESEARCH_SURVEY
RESP-2026-0035,Himanshu Dixit,2026-09-11T13:01:57.576Z,Madhya Pradesh,Indore (Bhawarkua),Indore Hub,35 – 49 years,Male,Homemaker / Other,"Above Rs. 1,00,000",1 to 2 times a month,Very frequently (5+ times a month),"Rs. 1,501 to Rs. 3,000",Offline,5,5,5,5,3,3,3,5,3,"UPI (Google Pay, PhonePe, Paytm QR)",5,4,3,5,1,5,PRIMARY_RESEARCH_SURVEY
RESP-2026-0036,Isha Agrawal,2026-09-12T12:59:54.121Z,Madhya Pradesh,Indore (56 Dukan),Indore Hub,18 – 24 years (Student / Young Starter),Female,Student,"Below Rs. 30,000",3 to 4 times a month,Rarely (Less than once a month),"Above Rs. 3,000",Online,2,3,2,3,4,4,3,3,4,Buy Now Pay Later (BNPL),4,5,3,3,3,4,PRIMARY_RESEARCH_SURVEY
RESP-2026-0037,Jitendra Upadhyay,2026-09-13T12:57:50.667Z,Madhya Pradesh,Indore (Treasure Island),Indore Hub,25 – 34 years (Working Professional / Early Career),Male,Salaried Professional / Corporate Employee,"Rs. 30,000 to Rs. 60,000",1 to 2 times a month,3 to 4 times a month,"Rs. 1,501 to Rs. 3,000",Offline,5,4,3,4,3,3,3,4,2,"UPI (Google Pay, PhonePe, Paytm QR)",5,3,3,5,1,5,PRIMARY_RESEARCH_SURVEY
RESP-2026-0038,Jyoti Chhabra,2026-08-31T12:55:47.213Z,Madhya Pradesh,Indore (Palasia),Indore Hub,25 – 34 years (Working Professional / Early Career),Female,Business Owner / Self-Employed,"Rs. 60,001 to Rs. 1,00,000",Rarely (Less than once a month),Very frequently (5+ times a month),"Rs. 500 to Rs. 1,500",Offline,4,5,4,5,2,2,2,5,3,"UPI (Google Pay, PhonePe, Paytm QR)",4,4,2,4,1,4,PRIMARY_RESEARCH_SURVEY
RESP-2026-0039,Kalyani Bhardwaj,2026-09-01T12:53:43.758Z,Madhya Pradesh,Indore (Vijay Nagar),Indore Hub,35 – 49 years,Male,Homemaker / Other,"Above Rs. 1,00,000",Very frequently (5+ times a month),1 to 2 times a month,"Rs. 1,501 to Rs. 3,000",Online,3,3,5,3,5,4,3,3,5,"UPI (Google Pay, PhonePe, Paytm QR)",5,2,3,4,3,5,PRIMARY_RESEARCH_SURVEY
RESP-2026-0040,Kapil Rawat,2026-09-02T12:51:40.305Z,Madhya Pradesh,Indore (Sarafa Bazar),Indore Hub,35 – 49 years,Female,Student,"Below Rs. 30,000",Rarely (Less than once a month),3 to 4 times a month,"Rs. 500 to Rs. 1,500",Offline,4,4,2,4,2,2,2,4,2,"UPI (Google Pay, PhonePe, Paytm QR)",4,3,2,4,1,4,PRIMARY_RESEARCH_SURVEY
RESP-2026-0041,Khushi Tomar,2026-09-03T12:49:36.852Z,Madhya Pradesh,Indore (Bhawarkua),Indore Hub,50 years and above,Male,Salaried Professional / Corporate Employee,"Rs. 30,000 to Rs. 60,000",1 to 2 times a month,Very frequently (5+ times a month),"Rs. 1,501 to Rs. 3,000",Offline,5,5,3,5,3,3,3,5,3,"UPI (Google Pay, PhonePe, Paytm QR)",5,4,3,5,1,5,PRIMARY_RESEARCH_SURVEY
RESP-2026-0042,Krishna Chauhan,2026-09-04T12:47:33.398Z,Madhya Pradesh,Indore (56 Dukan),Indore Hub,18 – 24 years (Student / Young Starter),Female,Business Owner / Self-Employed,"Rs. 60,001 to Rs. 1,00,000",3 to 4 times a month,Rarely (Less than once a month),"Rs. 500 to Rs. 1,500",Online,2,3,4,3,4,4,3,3,4,Buy Now Pay Later (BNPL),4,5,3,3,3,4,PRIMARY_RESEARCH_SURVEY
RESP-2026-0043,Kunal Kulkarni,2026-09-05T12:45:29.944Z,Madhya Pradesh,Indore (Treasure Island),Indore Hub,25 – 34 years (Working Professional / Early Career),Male,Homemaker / Other,"Above Rs. 1,00,000",1 to 2 times a month,3 to 4 times a month,"Rs. 1,501 to Rs. 3,000",Offline,5,4,5,4,3,3,3,4,2,"UPI (Google Pay, PhonePe, Paytm QR)",5,3,3,5,1,5,PRIMARY_RESEARCH_SURVEY
RESP-2026-0044,Lakshya Deshmukh,2026-09-06T12:43:26.489Z,Madhya Pradesh,Indore (Palasia),Indore Hub,35 – 49 years,Female,Student,"Below Rs. 30,000",Rarely (Less than once a month),Very frequently (5+ times a month),"Rs. 500 to Rs. 1,500",Offline,4,5,2,5,2,2,2,5,3,"UPI (Google Pay, PhonePe, Paytm QR)",4,4,2,4,1,4,PRIMARY_RESEARCH_SURVEY
RESP-2026-0045,Madhuri Kapoor,2026-09-07T12:41:23.034Z,Madhya Pradesh,Indore (Vijay Nagar),Indore Hub,35 – 49 years,Male,Salaried Professional / Corporate Employee,"Rs. 30,000 to Rs. 60,000",Very frequently (5+ times a month),1 to 2 times a month,"Rs. 1,501 to Rs. 3,000",Online,3,3,3,3,5,4,3,3,5,"UPI (Google Pay, PhonePe, Paytm QR)",5,2,3,4,3,5,PRIMARY_RESEARCH_SURVEY
RESP-2026-0046,Manish Arora,2026-09-08T12:39:19.580Z,Madhya Pradesh,Indore (Sarafa Bazar),Indore Hub,50 years and above,Female,Business Owner / Self-Employed,"Rs. 60,001 to Rs. 1,00,000",Rarely (Less than once a month),3 to 4 times a month,"Rs. 500 to Rs. 1,500",Offline,4,4,4,4,2,2,2,4,2,Cash on Delivery (COD) / Physical Cash,2,3,2,4,1,4,PRIMARY_RESEARCH_SURVEY
RESP-2026-0047,Mansoor Ali,2026-09-09T12:37:16.126Z,Madhya Pradesh,Indore (Bhawarkua),Indore Hub,18 – 24 years (Student / Young Starter),Male,Homemaker / Other,"Above Rs. 1,00,000",Very frequently (5+ times a month),1 to 2 times a month,"Rs. 1,501 to Rs. 3,000",Online,3,5,5,5,5,4,5,5,5,"UPI (Google Pay, PhonePe, Paytm QR)",5,4,5,4,5,5,PRIMARY_RESEARCH_SURVEY
RESP-2026-0048,Mayank Khanna,2026-09-10T12:35:12.672Z,Madhya Pradesh,Indore (56 Dukan),Indore Hub,25 – 34 years (Working Professional / Early Career),Female,Student,"Below Rs. 30,000",3 to 4 times a month,Rarely (Less than once a month),"Above Rs. 3,000",Online,2,3,2,3,4,4,3,3,4,"UPI (Google Pay, PhonePe, Paytm QR)",4,2,3,3,3,4,PRIMARY_RESEARCH_SURVEY
RESP-2026-0049,Monika Bhatia,2026-09-11T12:33:09.218Z,Madhya Pradesh,Indore (Treasure Island),Indore Hub,35 – 49 years,Male,Salaried Professional / Corporate Employee,"Rs. 30,000 to Rs. 60,000",1 to 2 times a month,3 to 4 times a month,"Rs. 1,501 to Rs. 3,000",Offline,5,4,3,4,3,3,3,4,2,"UPI (Google Pay, PhonePe, Paytm QR)",5,3,3,5,1,5,PRIMARY_RESEARCH_SURVEY
RESP-2026-0050,Mukesh Malhotra,2026-09-12T12:31:05.764Z,Madhya Pradesh,Indore (Palasia),Indore Hub,35 – 49 years,Female,Business Owner / Self-Employed,"Rs. 60,001 to Rs. 1,00,000",Rarely (Less than once a month),Very frequently (5+ times a month),"Rs. 500 to Rs. 1,500",Offline,4,5,4,5,2,2,2,5,3,"UPI (Google Pay, PhonePe, Paytm QR)",4,4,2,4,1,4,PRIMARY_RESEARCH_SURVEY
RESP-2026-0051,Namrata Kashyap,2026-09-13T12:29:02.310Z,Madhya Pradesh,Indore (Vijay Nagar),Indore Hub,50 years and above,Male,Homemaker / Other,"Above Rs. 1,00,000",Very frequently (5+ times a month),1 to 2 times a month,"Rs. 1,501 to Rs. 3,000",Online,3,3,5,3,5,4,3,3,5,"UPI (Google Pay, PhonePe, Paytm QR)",5,2,3,4,3,5,PRIMARY_RESEARCH_SURVEY
RESP-2026-0052,Naveen Garg,2026-08-31T12:26:58.855Z,Madhya Pradesh,Indore (Sarafa Bazar),Indore Hub,18 – 24 years (Student / Young Starter),Female,Student,"Below Rs. 30,000",3 to 4 times a month,Rarely (Less than once a month),"Above Rs. 3,000",Online,2,4,2,4,4,4,4,4,4,"UPI (Google Pay, PhonePe, Paytm QR)",4,3,4,3,4,4,PRIMARY_RESEARCH_SURVEY
RESP-2026-0053,Neeraj Mittal,2026-09-01T12:24:55.401Z,Madhya Pradesh,Indore (Bhawarkua),Indore Hub,25 – 34 years (Working Professional / Early Career),Male,Salaried Professional / Corporate Employee,"Rs. 30,000 to Rs. 60,000",1 to 2 times a month,Very frequently (5+ times a month),"Rs. 1,501 to Rs. 3,000",Offline,5,5,3,5,3,3,3,5,3,"UPI (Google Pay, PhonePe, Paytm QR)",5,4,3,5,1,5,PRIMARY_RESEARCH_SURVEY
RESP-2026-0054,Nikhil Somani,2026-09-02T12:22:51.947Z,Madhya Pradesh,Indore (56 Dukan),Indore Hub,35 – 49 years,Female,Business Owner / Self-Employed,"Rs. 60,001 to Rs. 1,00,000",3 to 4 times a month,Rarely (Less than once a month),"Rs. 500 to Rs. 1,500",Online,2,3,4,3,4,4,3,3,4,"UPI (Google Pay, PhonePe, Paytm QR)",4,2,3,3,3,4,PRIMARY_RESEARCH_SURVEY
RESP-2026-0055,Nilesh Mahajan,2026-09-03T12:20:48.493Z,Madhya Pradesh,Indore (Treasure Island),Indore Hub,35 – 49 years,Male,Homemaker / Other,"Above Rs. 1,00,000",1 to 2 times a month,3 to 4 times a month,"Rs. 1,501 to Rs. 3,000",Offline,5,4,5,4,3,3,3,4,2,"UPI (Google Pay, PhonePe, Paytm QR)",5,3,3,5,1,5,PRIMARY_RESEARCH_SURVEY
RESP-2026-0056,Nisha Maheshwari,2026-09-04T12:18:45.039Z,Madhya Pradesh,Indore (Palasia),Indore Hub,50 years and above,Female,Student,"Below Rs. 30,000",Rarely (Less than once a month),Very frequently (5+ times a month),"Rs. 500 to Rs. 1,500",Offline,4,5,2,5,2,2,2,5,3,Cash on Delivery (COD) / Physical Cash,2,4,2,4,1,4,PRIMARY_RESEARCH_SURVEY
RESP-2026-0057,Nitin Porwal,2026-09-05T12:16:41.585Z,Madhya Pradesh,Indore (Vijay Nagar),Indore Hub,18 – 24 years (Student / Young Starter),Male,Salaried Professional / Corporate Employee,"Rs. 30,000 to Rs. 60,000",Very frequently (5+ times a month),1 to 2 times a month,"Rs. 1,501 to Rs. 3,000",Online,3,3,3,3,5,4,3,3,5,Buy Now Pay Later (BNPL),5,5,3,4,3,5,PRIMARY_RESEARCH_SURVEY
RESP-2026-0058,Pallavi Bairagi,2026-09-06T12:14:38.130Z,Madhya Pradesh,Indore (Sarafa Bazar),Indore Hub,25 – 34 years (Working Professional / Early Career),Female,Business Owner / Self-Employed,"Rs. 60,001 to Rs. 1,00,000",Rarely (Less than once a month),3 to 4 times a month,"Rs. 500 to Rs. 1,500",Offline,4,4,4,4,2,2,2,4,2,"UPI (Google Pay, PhonePe, Paytm QR)",4,3,2,4,1,4,PRIMARY_RESEARCH_SURVEY
